System,Drug,Class,Indication,Pediatric_Dose,Max_Dose,Dosage_Form,Route,Frequency,Contraindications,Major_Side_Effects,Special_Notes
Ophthalmology,Dorzolamide 2%,CAI,Glaucoma,1 drop TID,—,Drops,Topical,TID,Sulfa allergy,Stinging,Monitor cornea
Ophthalmology,Prednisolone acetate 1%,Corticosteroid,Uveitis,1 drop QID,—,Suspension,Topical,QID,Herpes keratitis,Cataract IOP,Taper slowly
Ophthalmology,Dexamethasone 0.1%,Corticosteroid,Allergic conjunctivitis,1 drop QID,—,Drops,Topical,QID,Herpes keratitis,Same as above,Monitor IOP
Ophthalmology,Olopatadine 0.1%,Antihistamine,Allergic conjunctivitis,1 drop BID,—,Drops,Topical,BID,None,Headache,Safe long-term
Ophthalmology,Ketotifen 0.025%,Antihistamine,Allergic conjunctivitis,1 drop BID,—,Drops,Topical,BID,None,Burning,OTC available
Ophthalmology,Moxifloxacin 0.5%,Fluoroquinolone,Bacterial keratitis,1 drop q1h initially,—,Drops,Topical,q1h,None,Burning,Reduce frequency
Ophthalmology,Tobramycin 0.3%,Aminoglycoside,Bacterial conjunctivitis,1 drop q4h,—,Drops,Topical,q4h,None,Burning,Monitor toxicity
Ophthalmology,Erythromycin 0.5%,Macrolide,Neonatal conjunctivitis,1 cm ribbon QID,—,Ointment,Topical,QID,None,Irritation,Prophylaxis neonates
Ophthalmology,Gentamicin 0.3%,Aminoglycoside,Bacterial keratitis,1 drop q4h,—,Drops,Topical,q4h,None,Nephro/oto,Avoid prolonged
Ophthalmology,Natamycin 5%,Antifungal,Fungal keratitis,1 drop q1h,—,Suspension,Topical,q1h,None,Irritation,Gold standard
Ophthalmology,Atropine 1%,Cycloplegic,Refraction,1 drop OD x1-2,—,Drops,Topical,Single,Narrow angle,Tachycardia fever,Observe 30 min
Ophthalmology,Cyclopentolate 1%,Cycloplegic,Refraction,1 drop OD x1-2,—,Drops,Topical,Single,Narrow angle,Blurred vision,Watch for CNS
Ophthalmology,Tropicamide 1%,Mydriatic,Fundus exam,1 drop OD x1,—,Drops,Topical,Single,Narrow angle,Photophobia,Short acting
Ophthalmology,Phenylephrine 2.5%,Mydriatic,Fundus exam,1 drop OD x1,—,Drops,Topical,Single,HTN,Hypertension,Monitor BP
Ophthalmology,Latanoprost,Prostaglandin,Glaucoma,1 drop QHS,—,Drops,Topical,QHS,Herpes keratitis,Iris pigmentation,Monitor IOP
Otolaryngology,Racemic epinephrine,Sympathomimetic,Croup stridor,0.5 mL/kg 1:1000 in 3 mL NS nebulized,5 mL,Neb solution,Inh,q2h PRN,None,Tachycardia rebound,Observe ≥2 h
Otolaryngology,Amoxicillin,Penicillin,Acute otitis media,45 mg/kg/day ÷ BID,1 g BID,Susp chew tab,PO,BID,Penicillin allergy,Rash diarrhea,10-day course
Otolaryngology,Amoxicillin-Clavulanate,Penicillin + β-lactamase,Recurrent AOM sinusitis,40-50 mg/kg/day ÷ BID,2 g BID amoxicillin,Susp tab,PO,BID,Same as above,Diarrhea rash,Monitor LFT
Otolaryngology,Cefdinir,3rd gen oral cephalosporin,AOM sinusitis,14 mg/kg once daily (max 600 mg),600 mg/day,Susp cap,PO,Once daily,Cephalosporin allergy,Diarrhea rash,5-day course
Otolaryngology,Azithromycin,Macrolide,AOM pertussis,10 mg/kg once daily ×3 days,500 mg/day,Susp tab,PO,Once daily,Macrolide allergy,QT GI upset,Take 1 h before food
Otolaryngology,Prednisolone,Corticosteroid,Severe tonsillitis croup,1-2 mg/kg/day ×3-5 days,60 mg/day,Liquid tab,PO,Once daily,Systemic infection,Mood changes appetite,No taper ≤7 days
Otolaryngology,Dexamethasone,Corticosteroid,Croup epiglottitis,0.15-0.6 mg/kg PO/IM once,10 mg,Tab liquid inj,PO/IM,Single,Same as above,Minimal short-term,Long half-life
Otolaryngology,Epinephrine 1:1000,Sympathomimetic,Anaphylaxis laryngeal edema,0.01 mg/kg IM,0.5 mg,Auto-injector amp,IM,Repeat q5-15 min,None,Tachycardia tremor,Call EMS
Otolaryngology,Ipratropium bromide,Anticholinergic,Rhinitis secretions,250-500 µg neb q6-8h,—,Neb solution,Inh,q6-8h,Soy allergy,Dry mouth cough,Watch technique
Otolaryngology,Ondansetron,5-HT3 antagonist,PONV vertigo,0.15 mg/kg IV q8h,16 mg,Vial ODT,IV/PO,q8h,Hypersensitivity,Headache constipation QT,Monitor ECG
Otolaryngology,Loratadine,Non-sedating antihistamine,Allergic rhinitis,2-5 yrs 5 mg ≥6 yrs 10 mg daily,10 mg/day,Syrup tab,PO,Once daily,Hypersensitivity,Headache GI upset,Non-sedating
Otolaryngology,Cetirizine,Non-sedating antihistamine,Allergic rhinitis urticaria,6-23 mo 2.5 mg 2-5 y 5 mg ≥6 y 10 mg daily,10 mg/day,Susp tab,PO,Once daily,Hypersensitivity,Drowsiness GI upset,Less sedation
Otolaryngology,Mometasone,Nasal steroid,Allergic rhinitis,2 sprays/nostril once daily >12 yrs,—,Nasal spray,Inh,Once daily,Nasal infection,Nosebleed epistaxis,Rinse nozzle
Otolaryngology,Fluticasone,Nasal steroid,Allergic rhinitis,1 spray/nostril once daily >4 yrs,—,Nasal spray,Inh,Once daily,Same as above,Same as above,Same as above
Otolaryngology,Budesonide,Nasal steroid,Allergic rhinitis,1 spray/nostril once daily >6 yrs,—,Nasal spray,Inh,Once daily,Same as above,Same as above,Same as above
Otolaryngology,Xylometazoline,Decongestant,Nasal congestion,2-6 yrs 1 spray/nostril BID >6 yrs 2 sprays BID,—,Nasal spray,Inh,BID,Hypertension,Rebound congestion,Limit ≤5 days
Otolaryngology,Oxymetazoline,Decongestant,Nasal congestion,2-6 yrs 1 spray/nostril BID >6 yrs 2 sprays BID,—,Nasal spray,Inh,BID,Same as above,Same as above,Same as above
Otolaryngology,Saline nasal spray,Isotonic wash,Congestion crusting,2-6 sprays/nostril PRN,—,Spray,Inh,PRN,None,None,OTC safe
Otolaryngology,Carbamide peroxide,Cerumenolytic,Cerumen impaction,5-10 drops BID ×3-4 days,—,Drops,Ear,BID,Perforated TM,Otalgia irritation,Flush after softening
Otolaryngology,Glycerin + lidocaine,Topical otic,Otalgia,2-3 drops PRN,—,Drops,Ear,PRN,Perforated TM,None,OTC
Pain_Management_Anesthesia,Morphine,Opioid,Severe pain,0.05-0.1 mg/kg IV q2-4h,—,Ampule,IV,q2-4h,Respiratory depression,Hypotension resp depression,Monitor RR BP
Pain_Management_Anesthesia,Ketorolac,NSAID,Moderate-severe pain,0.5-1 mg/kg IV q6h (max 5 days),30 mg IV,Tab inj,PO/IV,q6h,Same as above,Same as above,Max 5 days
Pain_Management_Anesthesia,Naproxen,NSAID,Pain fever,5-10 mg/kg q12h,1000 mg/day,Tab susp,PO,q12h,Same as above,Same as above,Same as above
Pain_Management_Anesthesia,Ibuprofen,NSAID,Pain fever,5-10 mg/kg q6-8h,40 mg/kg/day,Tab susp,PO,q6-8h,NSAID allergy ulcer,GI bleed renal toxicity,Take with food
Pain_Management_Anesthesia,Acetaminophen,Analgesic antipyretic,Pain fever,10-15 mg/kg q4-6h,75 mg/kg/day,Tab liquid supp,PO/PR,q4-6h,Hepatic failure,Hepatotoxicity,Monitor total daily
Pain_Management_Anesthesia,Etomidate,Induction agent,Rapid sequence intubation,0.2-0.3 mg/kg IV,—,Vial,IV,Single,Adrenal insufficiency,Adrenal suppression myoclonus,Single dose
Pain_Management_Anesthesia,Isoflurane,Inhalational anesthetic,General anesthesia,1-2% inhaled,—,Liquid,Inh,Continuous,Same as above,Same as above,Same as above
Pain_Management_Anesthesia,Sevoflurane,Inhalational anesthetic,General anesthesia,2-3% inhaled,—,Liquid,Inh,Continuous,Malignant hyperthermia,Malignant hyperthermia,Trigger-free machine
Pain_Management_Anesthesia,Nitrous oxide,Inhalational anesthetic,Procedural sedation,50-70% in O₂,—,Cylinder,Inh,PRN,Air trapping (pneumothorax),Nausea vomiting,Elimination rapid
Pain_Management_Anesthesia,Ropivacaine,Local anesthetic,Regional blocks,Max 3-4 mg/kg,—,Ampule,SC/IV/Topical,Infiltration,Same as above,Same as above,Same as above
Pain_Management_Anesthesia,Bupivacaine,Local anesthetic,Regional blocks,Max 2-3 mg/kg,—,Ampule,SC/IV/Topical,Infiltration,Same as above,Same as above,Same as above
Pain_Management_Anesthesia,Lidocaine,Local anesthetic,Regional blocks,Max 3-5 mg/kg (0.3 mL/kg 1%),—,Ampule,SC/IV/Topical,Infiltration,Hypersensitivity,Seizures arrhythmia,Monitor ECG
Pain_Management_Anesthesia,Dexmedetomidine,α2-agonist,Sedation ICU,0.5-1 mcg/kg loading then 0.2-0.7 mcg/kg/h,—,Vial,IV,Continuous,Severe bradycardia,Bradycardia hypotension,Monitor ECG
Pain_Management_Anesthesia,Midazolam,Benzodiazepine,Sedation anxiolysis,0.05-0.1 mg/kg IV q2-4h,—,Ampule,IV,q2-4h,Severe hypotension,Sedation respiratory depression,Monitor RR BP
Pain_Management_Anesthesia,Propofol,General anesthetic,Procedural sedation,1-2 mg/kg IV bolus then 50-200 mcg/kg/min,—,Vial,IV,Continuous,Allergy to egg lecithin,Hypotension apnea,Airway ready
Pain_Management_Anesthesia,Ketamine,Dissociative anesthetic,Procedural sedation,1-2 mg/kg IV 4-5 mg/kg IM,—,Vial,IV/IM,Single,Increased ICP,Hypertension laryngospasm,Airway ready
Pain_Management_Anesthesia,Tramadol,Opioid,Mild-moderate pain,1-2 mg/kg q6h,100 mg/dose,Tab liquid,PO,q6h,Seizure history,Respiratory depression seizures,Monitor respiration
Pain_Management_Anesthesia,Codeine,Opioid,Mild-moderate pain,0.5-1 mg/kg q4-6h,60 mg/dose,Syrup tab,PO,q4-6h,Same as above,Same as above,Risk apnea <12 yrs
Pain_Management_Anesthesia,Oxycodone,Opioid,Moderate-severe pain,0.1-0.2 mg/kg q4-6h,10 mg/dose,Syrup tab,PO,q4-6h,Same as above,Same as above,Same as above
Pain_Management_Anesthesia,Hydromorphone,Opioid,Severe pain,0.01-0.02 mg/kg IV q4-6h,—,Ampule,IV,q4-6h,Same as above,Same as above,Monitor respiration
Pain_Management_Anesthesia,Fentanyl,Opioid,Severe pain procedural,1-2 mcg/kg IV q2-4h,—,Ampule,IV,q2-4h,Same as above,Same as above,Short acting
Psychiatry_Behavioral,Lisdexamfetamine,Pro-drug stimulant,ADHD,30-70 mg once daily (≥6 yrs),70 mg/day,Cap,PO,Once daily,Same as methylphenidate,Same as methylphenidate,Once-daily
Psychiatry_Behavioral,Clonidine,α2-agonist,ADHD sleep anxiety,1-5 mcg/kg/dose PO TID-QID max 5 mcg/kg QID,300 mcg/day,Tab patch inj,PO/IV/Transdermal,TID-QID,Same as above,Same as above,Monitor BP HR
Psychiatry_Behavioral,Guanfacine,α2-agonist,ADHD,1 mg qHS titrate max 4 mg/day (6-12 yrs),4 mg/day,Tab ER,PO,Once daily,Hypersensitivity,Somnolence hypotension,Do not stop abruptly
Psychiatry_Behavioral,Atomoxetine,SNRI,ADHD,<70 kg 0.5-1.4 mg/kg/day ≥70 kg 40-100 mg/day,100 mg/day,Cap,PO,Once daily,Narrow-angle glaucoma,Hepatotoxicity suicidal ideation,Monitor LFT mood
Psychiatry_Behavioral,Methylphenidate,CNS stimulant,ADHD,0.3 mg/kg/day ÷ BID titrate max 2 mg/kg/day (60 mg),60 mg/day,Tab ER cap liquid,PO,BID-TID,Tics psychosis,Insomnia appetite loss,Monitor growth BP
Psychiatry_Behavioral,Buspirone,Anxiolytic,Anxiety,5-10 mg BID titrate max 60 mg,60 mg/day,Tab,PO,BID,MAOI,Dizziness nausea,2-4 wk onset
Psychiatry_Behavioral,Imipramine,TCA,Enuresis ADHD,25 mg nightly (6-12 yrs) titrate max 75 mg,75 mg/day,Tab,PO,QHS,MAOI cardiac,Anticholinergic cardiotoxicity,Monitor ECG
Psychiatry_Behavioral,Clomipramine,TCA,OCD,10 mg/day titrate max 3 mg/kg/day (max 200 mg),200 mg/day,Tab,PO,BID-TID,Same as above,Same as above,Monitor ECG
Psychiatry_Behavioral,Fluvoxamine,SSRI,OCD,8-17 yrs 25 mg nightly titrate max 200 mg,200 mg/day,Tab,PO,QHS,MAOI pimozide,GI upset activation,Monitor mood
Psychiatry_Behavioral,Duloxetine,SNRI,Anxiety depression,≥7 yrs 30 mg once daily titrate max 60 mg,60 mg/day,Cap,PO,Once daily,MAOI,Hepatotoxicity suicidal ideation,Monitor LFT
Psychiatry_Behavioral,Hydroxyzine,Anxiolytic,Anxiety sedation,0.5-1 mg/kg q6h,100 mg/day,Syrup tab,PO,q6h,Sedating antihistamines,Sedation anticholinergic,Short-term use
Psychiatry_Behavioral,Melatonin,Hormone,Sleep disorders,1-3 mg 30 min before bedtime,10 mg/day,Tab liquid,PO,Once daily,Hypersensitivity,Daytime drowsiness,Short-term use
Psychiatry_Behavioral,Lamotrigine,Mood stabilizer,Bipolar seizures,0.15 mg/kg/day (with VPA) 0.6 mg/kg/day (without) titrate,400 mg/day,Tab chew,PO,Once or BID,Hypersensitivity,Rash Stevens-Johnson,Slow titration
Psychiatry_Behavioral,Valproate,Mood stabilizer,Bipolar seizures,10-15 mg/kg/day ÷ BID titrate 60 mg/kg/day,60 mg/kg/day,Tab sprinkles,PO,BID,Hepatic failure urea cycle,Hepatotoxicity pancreatitis,TDM weight gain
Psychiatry_Behavioral,Lithium,Mood stabilizer,Bipolar,10-40 mg/kg/day ÷ BID titrate trough 0.8-1.2 mEq/L,—,Tab liquid,PO,BID,Renal failure,Polyuria tremor,Monitor lithium levels renal
Psychiatry_Behavioral,Quetiapine,Atypical antipsychotic,Bipolar,25-400 mg BID titrate (≥10 yrs),800 mg/day,Tab,PO,BID,Same as above,Same as above,Monitor glucose lipids
Psychiatry_Behavioral,Olanzapine,Atypical antipsychotic,Bipolar,2.5-10 mg once daily (≥13 yrs),20 mg/day,Tab,PO,Once daily,Same as above,Same as above,Monitor glucose lipids
Psychiatry_Behavioral,Aripiprazole,Atypical antipsychotic,Autism bipolar,5-15 mg once daily (≥6 yrs),30 mg/day,Tab liquid,PO,Once daily,Same as above,Same as above,Monitor glucose lipids
Psychiatry_Behavioral,Risperidone,Atypical antipsychotic,Autism bipolar,0.25-1 mg BID titrate max 3 mg/day (5-17 yrs),3 mg/day,Tab liquid,PO,BID,Dementia,EPS weight gain,Monitor glucose lipids
Psychiatry_Behavioral,Paroxetine,SSRI,OCD,≥6 yrs 10 mg once daily titrate max 40 mg,40 mg/day,Tab liquid,PO,Once daily,Same as above,Same as above,Withdrawal symptoms
Psychiatry_Behavioral,Escitalopram,SSRI,Anxiety depression,12-17 yrs 10 mg once daily titrate max 20 mg,20 mg/day,Tab liquid,PO,Once daily,Same as above,Same as above,Monitor growth
Psychiatry_Behavioral,Fluoxetine,SSRI,Depression OCD,≥5 yrs 10 mg once daily titrate max 20 mg/day,20 mg/day,Cap liquid,PO,Once daily,Same as above,Same as above,Long half-life
Psychiatry_Behavioral,Sertraline,SSRI,OCD depression,6-12 yrs 25 mg once daily titrate max 200 mg,200 mg/day,Tab liquid,PO,Once daily,MAOI pimozide,Activation suicidal ideation,Monitor mood
Psychiatry_Behavioral,Dexmethylphenidate,Stimulant,ADHD,2.5-10 mg BID (≥6 yrs),20 mg/day,Tab ER,PO,BID,Same as above,Same as above,Monitor growth
Respiratory,Ipratropium bromide,Anticholinergic,Asthma exacerbation,250–500 µg neb q20min x3 then PRN,2 mg/day,Neb solution,Inh,q6-8h,Soy lecithin allergy,Dry mouth cough,Watch technique
Respiratory,Salmeterol,LABA,Asthma maintenance,50 µg BID (≥4 yrs),100 µg/day,DPI,Inh,BID,Asthma monotherapy,Tremor palpitations,Always with ICS
Respiratory,Ciclesonide,ICS,Asthma maintenance,80-160 µg daily (4-11 yrs),160 µg/day,MDI,Inh,Once daily,Same as above,Same as above,Lower systemic exposure
Respiratory,Albuterol,SABA,Asthma bronchospasm,1-2 puffs (100-200 µg) MDI q4h PRN,8 puffs/day,MDI neb,Inh,q4h PRN,Hypersensitivity,Tremor tachycardia,Use spacer rinse mouth
Respiratory,Beclomethasone,ICS,Asthma maintenance,50-100 µg BID (5-11 yrs),400 µg/day,MDI,Inh,BID,Hypersensitivity,Oral thrush,Use spacer
Respiratory,Fluticasone,ICS,Asthma maintenance,50–200 µg BID (age <12 yrs),400 µg/day,MDI DPI,Inh,BID,Acute bronchospasm,Thrush dysphonia,Rinse mouth monitor growth
Respiratory,Budesonide (inhaled),ICS,Asthma maintenance,200–400 µg daily (6 m–12 y),800 µg/day,Inh susp DPI,Inh,Once or BID,Hypersensitivity,Same as fluticasone,MART regimen possible
Respiratory,Montelukast,LTRA,Asthma allergic rhinitis,4 mg (<6 yrs) 5 mg (6-14 yrs) qHS,5 mg/day,Chew tab granules,PO,qHS,Hypersensitivity,Neuropsychiatric events,Warn parents
Respiratory,Prednisolone,Oral corticosteroid,Asthma exacerbation,1–2 mg/kg/day (max 40–60 mg) x3-5 days,60 mg/day,Tab liquid,PO,Once daily,Systemic fungal infection,Mood appetite changes,No taper ≤7 days
Respiratory,Prednisone,Oral corticosteroid,Asthma exacerbation,1–2 mg/kg/day (max 60 mg) x3-5 days,60 mg/day,Tab,PO,Once daily,Same as prednisolone,Same as prednisolone,Prodrug
Respiratory,Methylprednisolone,IV corticosteroid,Severe asthma,1–2 mg/kg q6h (max 60–80 mg),80 mg/dose,Vial,IV,q6h,Same as above,Hypertension hyperglycemia,ICU use
Respiratory,Dexamethasone,Corticosteroid,Croup,0.15–0.6 mg/kg PO once (max 10 mg),10 mg,Tab liquid,PO,Single,Systemic fungal infection,Minimal short-term,Long half-life
Respiratory,Epinephrine,Sympathomimetic,Anaphylaxis croup,0.01 mg/kg IM 1:1000 (max 0.5 mg),0.5 mg,Auto-injector amp,IM,Repeat q5-15 min,None,Palpitations tremor,Call EMS
Respiratory,Cromolyn sodium,Mast-cell stabilizer,Asthma prophylaxis,2 puffs MDI QID (1.6 mg),—,MDI neb,Inh,QID,Hypersensitivity,Cough throat irritation,Takes weeks
Respiratory,Omalizumab,Anti-IgE mAb,Severe allergic asthma,75–375 mg SC q2-4 wk (weight & IgE based),375 mg,Pre-filled syringe,SC,q2-4 wk,Hypersensitivity,Anaphylaxis URI,Prefilled syringe
Respiratory,Dornase alfa,Recombinant DNase,Cystic fibrosis,2.5 mg neb once daily,—,Ampule,Neb,Once daily,Hypersensitivity,Hoarseness rash,Special nebulizer
Respiratory,Tobramycin inhaled,Aminoglycoside,CF Pseudomonas,300 mg neb BID 28 days on/off,300 mg,Vial,Neb,BID,Anuria ototoxicity,Tinnitus cough,Monitor levels
Respiratory,Formoterol,LABA,Asthma maintenance,4.5-9 µg BID (≥6 yrs),36 µg/day,DPI,Inh,BID,Asthma monotherapy,Same as salmeterol,MART only with ICS
Respiratory,Aztreonam inhaled,Monobactam,CF Pseudomonas,75 mg neb TID 28 days on/off,75 mg,Vial,Neb,TID,Hypersensitivity,Cough wheeze,Special nebulizer
Respiratory,Levalbuterol,SABA,Asthma bronchospasm,0.31-1.25 mg neb q6-8h (≥6 yrs),1.25 mg,Neb solution,Inh,q6-8h,Same as albuterol,Same as albuterol,More expensive
Rheumatology,Leflunomide,DMARD,Polyarticular JIA,20 mg once daily (<40 kg) 20-30 mg (≥40 kg),30 mg/day,Tab,PO,Once daily,Severe hepatic,Diarrhea hepatotoxicity,Cholestyramine washout
Rheumatology,Methotrexate,DMARD,JIA leukemia,10-15 mg/m² once weekly PO/SC,—,2.5 mg tab inj,PO/SC,Weekly,Severe renal/hepatic,Stomatitis cytopenia hepatotoxicity,Monitor CBC LFT folate
Rheumatology,Penicillamine,Chelator,JIA Wilson,5-10 mg/kg/day titrate max 20 mg/kg,1.5 g/day,Cap,PO,QD-BID,Penicillin allergy renal,Proteinuria rash marrow suppression,Monitor CBC urinalysis
Rheumatology,Cyclosporine,Calcineurin inhibitor,SLE nephritis,2.5-4 mg/kg/day ÷ BID titrate trough 100-200 ng/mL,—,Cap susp inj,PO/IV,BID,Uncontrolled HTN malignancy,Nephrotoxicity hirsutism,Monitor trough BP
Rheumatology,Mycophenolate mofetil,Immunosuppressant,Lupus nephritis,600 mg/m² BID PO max 3 g/day,3 g/day,Cap susp vial,PO/IV,BID,Pregnancy active infection,GI upset cytopenia,Pregnancy test
Rheumatology,Tacrolimus,Calcineurin inhibitor,SLE nephritis,0.1-0.2 mg/kg/day ÷ BID titrate trough 5-15 ng/mL,—,Cap susp inj,PO/IV,BID,Severe infection,Hypertension nephrotoxicity,Monitor trough
Rheumatology,Rituximab,Anti-CD20 mAb,JIA vasculitis,750 mg/m² IV x2 doses 2 wks apart,—,Vial,IV,Two infusions 2 wks apart,Hepatitis B active,Infusion reaction infection,Hep B screen
Rheumatology,Anakinra,IL-1 receptor antagonist,SJIA autoinflammatory,1-2 mg/kg SC daily max 100 mg,100 mg/day,Prefilled syringe,SC,Daily,Active infection,Injection site infection,Monitor infection
Rheumatology,Canakinumab,IL-1β inhibitor,SJIA CAPS,4 mg/kg SC q4wk max 300 mg,300 mg,Prefilled syringe,SC,q4wk,Active infection,Injection site infection,Monitor infection
Rheumatology,Tocilizumab,IL-6 inhibitor,JIA systemic,IV 8 mg/kg q4wk (>2 yrs) or SC 162 mg q2wk (>30 kg),12 mg/kg IV,Vial prefilled,IV/SC,q2-4wk,Active infection,Infection elevated LFT,Monitor CBC LFT
Rheumatology,Prednisolone,Corticosteroid,JIA flare uveitis,1-2 mg/kg/day max 60 mg,60 mg/day,Tab liquid,PO,Once daily,Systemic infection,Same as above,Taper slowly
Rheumatology,Ibuprofen,NSAID,JIA fever pain,5-10 mg/kg q6-8h,40 mg/kg/day,Tab susp,PO,Q6-8H,Same as naproxen,Same as naproxen,Same as naproxen
Rheumatology,Naproxen,NSAID,JIA pain fever,10 mg/kg BID JIA; 5-10 mg/kg q8-12h pain,1000 mg/day,Tab susp,PO,BID-QID,Active ulcer severe heart/kidney,GI bleed renal toxicity,Take with food
Rheumatology,Hydroxychloroquine,Antimalarial DMARD,JIA SLE,5-7 mg/kg/day max 400 mg,400 mg/day,Tab,PO,Once daily,Retinal disease,Retinopathy GI upset,Annual eye exam
Rheumatology,Sulfasalazine,DMARD,JIA IBD,JIA 30-50 mg/kg/day ÷ BID max 2 g,2 g/day,Tab,PO,BID,Sulfa hypersensitivity,Blood dyscrasias hepatitis,Monitor CBC LFT
Rheumatology,Infliximab,Anti-TNF mAb,JIA,3-6 mg/kg IV wk0 2 6 then q8wk,10 mg/kg,Vial,IV,q8wk,Active infection CHF,Infusion reaction infection,TB screen
Rheumatology,Etanercept,TNF inhibitor,JIA,0.8 mg/kg SC weekly max 50 mg,50 mg/week,Pre-filled syringe,SC,Weekly,Active infection including TB,Injection site URI,Monitor infection
Rheumatology,Adalimumab,Anti-TNF mAb,JIA Crohn ulcerative colitis,JIA 20 mg EOW (15-30 kg) 40 mg EOW (>30 kg); Crohn 160 mg wk0 80 mg wk2 then 40 mg EOW,40 mg/0.8 mL,Prefilled pen,SC,EOW,Hypersensitivity active infection,Injection site infection malignancy,TB screen
Rheumatology,Abatacept,T-cell modulator,JIA uveitis,IV <75 kg 10 mg/kg 75-100 kg 750 mg >100 kg 1000 mg q4wk; SC 50-125 mg weekly,1000 mg/dose IV,Vial prefilled syringe,IV/SC,q4wk (IV) or weekly (SC),Hypersensitivity active infection,Infusion reaction infection,TB screen
Rheumatology,Colchicine,Anti-gout,PFAPA Behçet,0.3-0.6 mg BID (<5 yrs) 0.6-1.2 mg/day (≥5 yrs),1.2 mg/day,Tab,PO,BID,Severe renal/hepatic,GI upset myopathy,Monitor CYP3A4
Rheumatology,Azathioprine,Immunosuppressant,Lupus IBD,1-2 mg/kg/day max 2.5 mg/kg,2.5 mg/kg/day,Tab,PO,Once daily,TPMT deficiency,Same as above,TPMT genotype
Toxicology_Emergency,Digoxin immune Fab,Digoxin antidote,Digoxin toxicity,1 vial binds 0.5 mg digoxin (dose = digoxin ingested ÷ 0.5),—,Vial,IV,Single,None,Allergic reaction,Monitor K⁺
Toxicology_Emergency,Naloxone,Opioid antagonist,Opioid overdose,0.01-0.1 mg/kg IV/IM q2-3 min,2 mg/dose,Auto-injector amp,IV/IM/IN,Repeat q2-3 min,None,Withdrawal precipitate,Short half-life
Toxicology_Emergency,Flumazenil,Benzodiazepine antagonist,BZD overdose,0.01 mg/kg IV (max 0.2 mg) q1min,1 mg,Vial,IV,q1min,Seizure history,Seizures arrhythmia,Short half-life
Toxicology_Emergency,Activated charcoal,Adsorbent,Poisoning,1 g/kg (max 50 g),50 g,Suspension,PO,Single,Intestinal obstruction,Aspiration,constipation
Toxicology_Emergency,N-Acetylcysteine,Antidote,Acetaminophen poisoning,Loading 150 mg/kg IV then 50 mg/kg ×4h then 100 mg/kg ×16h,—,Vial,PO/IV,Loading then continuous,None,Anaphylaxis vomiting,Smell rotten eggs
Toxicology_Emergency,Atropine,Anticholinergic,Organophosphate,0.02 mg/kg IV q5-10 min,2 mg,Vial,IV,q5-10 min,Narrow-angle glaucoma,Tachycardia fever,Repeat until dry
Toxicology_Emergency,Pralidoxime,Cholinesterase reactivator,Organophosphate,20-50 mg/kg IV over 15-30 min,1 g,Vial,IV,q1h,None,Hypertension dizziness,With atropine
Toxicology_Emergency,Dimercaprol,Chelator,Lead arsenic,3-5 mg/kg IM q4h ×2 days,—,Ampule,IM,q4h,Iron overload,Hypertension nephrotoxicity,Deep IM
Toxicology_Emergency,EDTA,Calcium disodium chelator,Lead >45 µg/dL,1000 mg/m²/day IV infusion,—,Vial,IV,Once daily,Renal failure,Nephrotoxicity,Monitor renal
Toxicology_Emergency,Succimer,Chelator,Lead 20-45 µg/dL,10 mg/kg PO q8h ×5 days then q12h ×14 days,—,Cap,PO,q8h then q12h,Hepatic failure,GI upset rash,Monitor LFT
Toxicology_Emergency,Deferoxamine,Iron chelator,Iron overdose,15 mg/kg/h IV max 6 g/day,6 g/day,Vial,IV,Continuous,Renal failure,Ototoxicity retinopathy,Monitor ferritin
Toxicology_Emergency,Methylene blue,Oxidizing agent,Methemoglobinemia,1-2 mg/kg IV over 5 min,—,Ampule,IV,Single,G6PD deficiency,Hemolysis,Monitor SpO2
Toxicology_Emergency,Hydroxocobalamin,Vitamin B12 precursor,Cyanide poisoning,70 mg/kg IV over 15 min,5 g,Vial,IV,Single,None,Red discoloration urine skin,Monitor BP
Toxicology_Emergency,Sodium bicarbonate,Alkalinizing agent,TCA acidosis,1-2 mEq/kg IV titrate,—,Ampule,IV,PRN,Alkalosis,Alkalosis hypokalemia,Monitor ABG
Toxicology_Emergency,Lipid emulsion 20%,Lipid sink,Local anesthetic toxicity,1.5 mL/kg IV bolus then 0.25 mL/kg/min,—,Bag,IV,Bolus then infusion,None,Fat overload pancreatitis,Stop bupivacaine
Toxicology_Emergency,Fomepizole,Alcohol dehydrogenase inhibitor,Methanol ethylene glycol,Loading 15 mg/kg IV then 10 mg/kg q12h,—,Vial,IV,q12h,None,Headache nausea,Monitor ethanol levels
Toxicology_Emergency,Ethanol,Competitive inhibitor,Methanol ethylene glycol,Loading 600 mg/kg IV then 100-150 mg/kg/h,—,Vial,IV,Continuous,Hypoglycemia,Hypoglycemia intoxication,Monitor glucose
Toxicology_Emergency,Calcium gluconate,Electrolyte,Calcium channel blocker,60-100 mg/kg IV over 5-10 min,—,Ampule,IV,PRN,Hypercalcemia,Bradycardia arrhythmia,Monitor ECG
Toxicology_Emergency,Glucagon,Incretin,β-blocker CCB overdose,50-150 mcg/kg IV over 1 min,10 mg,Vial,IV,PRN,Insulinoma,Hyperglycemia vomiting,Monitor glucose
